variant,flow_residual,flow_global,vqa_yes,warp_error,subject_consistency,sharpness,colorfulness,div_vmae,div_sem,div_dino,recall,precision
S-rcm-sfdmd,2.0707249750238166,1.9220884011039805,0.681783055410617,0.016125665642387807,0.9636305024226507,585.0793529957523,71.72236654758453,0.12105109492937724,0.010260846920055449,0.24626603840539854,0.2083333283662796,0.5708333253860474
S-rcm-sfdmd-fw,2.0164079200846023,2.391342344755665,0.6746409972922669,0.015279275357027776,0.9628112763166428,648.3985937808808,67.09076378345489,0.13153473561008772,0.01068399057114246,0.2891123380511999,0.4375,0.6583333611488342
S-rcm-sfdmd-scm,4.657672224938869,2.985590832680464,0.6622714996337891,0.015261926164384931,0.9632716178894043,31.326518579028125,61.308128356933594,,,,,
S-rcm-tfdcm,2.3426791624731655,3.101677652912028,0.6763525943168336,0.01717715217286847,0.9400854140520096,850.3612062270582,70.35044879317283,0.1676063264409701,0.009968020256256878,0.39437801390886307,0.5958333611488342,0.5625
S-rcm-tfdcm-fw,3.047288674583251,4.1389663104471035,0.6645910921817024,0.01543372245247762,0.932027884076039,834.8272627606052,79.09327401816844,0.16452418093880017,0.009054753910526087,0.38542486156026523,0.512499988079071,0.5083333253860474
S-rcm-tfscm,3.630996134877205,3.002638880163431,0.7094586789608002,0.016188000759575515,0.9650424122810364,71.388453640004,58.160160064697266,,,,,
S-sf,3.2391559336800126,3.4679106083772724,0.6818167681081427,0.018608297095045905,0.9527653043468793,603.4006537713478,62.01239794890086,0.11783495185275873,0.010496470831650563,0.2705447740231951,0.3166666626930237,0.737500011920929
S-sf-gan,2.3923705253126295,2.7363380035587457,0.6843659365756645,0.016777681100223468,0.9501205804447334,924.1204994977285,65.1121997753779,0.15149527738491694,0.010909072325971172,0.31665467359125615,0.47083333134651184,0.5375000238418579
S-sf-sid,5.268842469076044,5.747653822734816,0.6840684466477897,0.024344574687735685,0.9227796365817388,397.0250930225278,65.69913318951924,0.12546137024958928,0.008951538469501773,0.2719885893166065,0.2666666805744171,0.574999988079071
S-sf-sid2,1.0080689102844917,1.0984185029940394,0.675503871921036,0.012242976524297167,0.964479514459769,526.6868050787571,54.06522564490636,0.12759764815370242,0.00914601566727586,0.28626687626043956,0.22499999403953552,0.5833333134651184
T-cfg3,2.803889882808726,4.184434902670619,0.6789472545600599,0.01343448471305237,0.9479054063558578,415.420363922159,36.50410319964091,0.19783176034688948,0.012737734504144718,0.42494351814190545,0.9833333492279053,0.9583333134651184
T-cfg7.5,3.7879154868080516,5.107492835883107,0.6800730002837049,0.01741311045419934,0.9537309025724728,666.9208737588348,57.79274010658264,0.1568115724871556,0.012390874746055573,0.3355148707826932,0.9916666746139526,1.0
T-few,4.003069076637621,8.04500152446646,0.6496305698735847,0.018139199675424607,0.9081685076157252,964.53470956289,49.35064673423767,0.16860527582466603,0.008515414372659411,0.5049615542093913,0.3499999940395355,0.5
T-full,3.689654461638808,5.706044345936491,0.6784448055550456,0.016135303388012594,0.9505207938452561,500.9540512406468,50.677366769313814,0.1608316633850336,0.012298699403461144,0.3501164119690657,0.9666666388511658,0.8833333253860474
T-nocfg,1.2464104688825317,1.456343159986621,0.6598794056723515,0.009589280500343496,0.9019713421662648,245.9598449907164,14.676566950480144,0.26912023276090624,0.011487427135830132,0.7425281832615535,0.2666666805744171,0.34166666865348816
