variant,pid,subset,n,pair_dist
T-full,P13,general,4,0.13955268263816833
T-full,P14,general,4,0.17068612575531006
T-full,P15,fast,4,0.0477922260761261
T-full,P16,fast,4,0.0659003034234047
T-full,P17,fast,4,0.1195690855383873
T-full,P18,fast,4,0.18694114685058594
T-full,P19,multi,4,0.07794877886772156
T-full,P20,multi,4,0.13403581082820892
T-full,P21,multi,4,0.21868796646595
T-full,P22,multi,4,0.12401893734931946
T-full,P23,rare,4,0.2791823744773865
T-full,P24,rare,4,0.20141427218914032
T-full,P25,rare,4,0.17225976288318634
T-full,P26,count,4,0.131348118185997
T-full,P27,count,4,0.2247336357831955
T-full,P28,count,4,0.1868688464164734
T-full,P29,physics,4,0.1628686487674713
