variant,pid,seed,prompt,subset,n_frames,flow_total,flow_global,flow_residual,residual_frac,flow_total_p95,residual_autocorr,zoom_abs,dynamic_degree_score,dynamic_degree,subject_consistency,background_consistency,temporal_flicker,warp_error,sharpness,colorfulness,clip_t,vqascore,vqa_yes,vqa_min_q,iqa_musiq,iqa_clipiqa,iqa_maniqa,iqa_topiq_nr
S-bi-causvid,P25,1.0,a giraffe wearing sunglasses roller-skating down a boardwalk,rare,81.0,6.194173991680145,4.373885257542133,5.3447619989514354,0.8628690674916968,9.576602792739868,0.6483243417358115,0.0016103078793094027,14.338438463211059,1.0,0.9831557273864746,0.9907180666923523,0.9725995659828186,0.013525170617504046,207.46704375844024,87.33927917480469,0.21749386191368103,0.5690103769302368,0.6230079134305319,0.5823275446891785,72.92381286621094,0.4464914798736572,0.40252578258514404,0.5850498676300049
S-bi-causvid,P20,7.0,a chef tossing vegetables in a flaming wok while a second cook plates dishes beside him,multi,81.0,1.5029663909226656,0.07448716090293601,1.4783096816390753,0.9835939825224997,2.652572929859161,-0.11773345283125328,0.0002148581308063058,21.850490140914918,1.0,0.9775139093399048,0.9743358492851257,0.9749392867088318,0.016542025574017315,332.94213508143014,57.840091705322266,0.27418527007102966,0.6472791433334351,0.6691407362620035,0.611909806728363,73.41978454589844,0.5662459135055542,0.4643154740333557,0.6882916688919067
S-bi-causvid,P28,6.0,"two cats sitting side by side on a windowsill, one black and one white, watching birds outside",count,81.0,0.2893573467619717,0.18757707024924458,0.1473057616269216,0.5090772852254938,0.655917304754257,0.7467312862270623,0.00029560931297964996,2.1299153834581377,0.0,0.99439537525177,0.9971722960472107,0.9931276440620422,0.004370822460623458,296.5312541271123,91.37107849121094,0.2989477515220642,0.697502613067627,0.5346248745918274,0.4651758670806885,72.62580871582031,0.5784353017807007,0.5218347311019897,0.6687994003295898
S-bi-causvid,P02,7.0,a bird soaring gracefully in the sky,general,81.0,6.326659643650055,4.8890474259853365,3.48368938267231,0.5506363591935061,9.504874086380005,-0.23617721211772275,0.0047184963274048645,13.317614436149597,1.0,0.9589714407920837,0.9785407185554504,0.96757972240448,0.01513865808956325,456.8173794930013,54.070743560791016,0.24194563925266266,0.8092389106750488,0.8702799081802368,0.8702799081802368,73.70849609375,0.7500868439674377,0.5775900483131409,0.7148050665855408
S-bi-causvid,P15,1.0,"a cheetah sprinting at full speed across the savanna, dust flying behind it",fast,81.0,14.251200711727142,11.907257395982743,7.231642425060272,0.507440886133093,21.792813301086426,0.06749261611028252,0.008306729065952822,23.933995914459228,1.0,0.9069862365722656,0.9717249870300293,0.9314377307891846,0.03443221434717998,920.5927860554667,47.660621643066406,0.30181753635406494,0.7481349110603333,0.7683751583099365,0.7276570796966553,70.1843032836914,0.4158836901187897,0.4336400628089905,0.6092879772186279
S-bi-causvid,P26,0.0,exactly four red apples rolling across a wooden table,count,81.0,0.18374890298582613,0.08551554991863668,0.14885778448078782,0.8101108194450052,0.29323695749044415,0.8228325745019792,0.00014158609585592785,1.0177835687994956,0.0,0.9976405501365662,0.9991557002067566,0.9960908889770508,0.0029126989946234973,202.66324715083903,76.19373321533203,0.25325214862823486,0.5421633720397949,0.6046386162439982,0.5692033767700195,72.4814453125,0.7363622784614563,0.4796316921710968,0.640957236289978
S-bi-causvid,P14,7.0,A tranquil tableau of a bunch of grapes,general,81.0,1.4126096495892853,0.0463890939601697,1.3880822435952722,0.9826361170354021,3.1720967888832092,0.5196486054463697,0.00010117569972862838,26.00751385688782,1.0,0.9769031405448914,0.9946529269218445,0.986089289188385,0.009589894831151469,83.12690503506539,88.0825424194336,0.2611140012741089,0.7503399848937988,0.7620909214019775,0.7620909214019775,72.77104187011719,0.6151237487792969,0.5363775491714478,0.649016261100769
S-bi-causvid,P05,0.0,A person is playing guitar,general,81.0,1.5738022152334452,0.2953605613671243,1.4102826271206141,0.8960984533961728,2.859300398826599,-0.02487466180565794,0.0006024884881071557,21.97600202560425,1.0,0.9951076507568359,0.9967724084854126,0.9750039577484131,0.013976948452182114,389.3865884008716,94.88919067382812,0.24228323996067047,0.6830624341964722,0.6419759392738342,0.6419759392738342,73.5477523803711,0.47189199924468994,0.37763041257858276,0.5438894033432007
S-bi-causvid,P02,3.0,a bird soaring gracefully in the sky,general,81.0,4.014548744261265,2.599311477690935,2.835205453634262,0.7062324878866286,6.11895499229431,-0.41162324974686415,0.0033731688250554725,9.931329905986786,0.0,0.9606461524963379,0.9801616072654724,0.9710559844970703,0.014055718475719913,482.73652290955414,72.29047393798828,0.2322021722793579,0.8507586717605591,0.8500324487686157,0.8500324487686157,77.1548080444336,0.7662101984024048,0.5491479635238647,0.7601075172424316
S-bi-causvid,P29,4.0,a full glass of water tipping over on a table and spilling across the surface,physics,81.0,0.40511856859084217,0.0785655583429616,0.3836934940656647,0.9471117265460532,1.683790165185928,0.8798797906373356,0.0001683788028174149,6.724680870771408,0.0,0.9517518281936646,0.9686926007270813,0.9829866290092468,0.013049357356794643,590.5230145588449,75.0726547241211,0.2573719620704651,0.4920552372932434,0.642978568871816,0.5143691897392273,69.02831268310547,0.4559115767478943,0.44743940234184265,0.5952894687652588
